Gene_Symbol,Evidence_Count
ERBB2,2
EGR3,2
DNAJC3,2
CD44,2
CD38,2
CCND2,2
CCND1,2
ITGA6,2
BRCA1,2
KIT,2
FGF2,2
CNTF,2
VDAC2,2
TFRC,2
SLC7A11,2
SLC40A1,2
SAT1,2
BTG2,2
AKT3,2
AKT2,2
PDCD10,2
MAP2K4,2
TIMP1,2
SC5D,2
ROCK1,2
RARA,2
PTK2,2
GPX1,2
PPP3R1,2
PEA15,2
MGMT,2
LMNA,2
LGALS3,2
LEF1,2
KRT18,2
JUN,2
IER3,2
HMGB2,2
PPT1,2
TNFRSF12A,2
TNFRSF10C,2
TNFRSF10B,2
TNFRSF10A,2
TNFAIP8,2
TIGAR,2
THBS1,2
TGFBR1,2
TGFB3,2
POR,2
TFAP2A,2
STUB1,2
NFKB1,2
NGF,2
SNCA,2
SLC9A1,2
SIRT1,2
SFRP2,2
SFRP1,2
RHOB,2
TFAP2B,2
GCLM,2
GCLC,2
GCH1,2
FTH1,2
CBS,2
SPATA2,2
PPIF,2
OGT,2
ASAH1,2
TNFRSF1A,2
ZC3H12A,2
XBP1,2
WT1,2
WNT5A,2
UBE2Z,2
TXNIP,2
TSC22D1,2
TRADD,2
TOP2A,2
TNFSF14,2
ZNF268,2
BARD1,2
DDIT3,2
HTRA2,2
HTT,2
DUSP1,2
TP53INP1,2
CDKN1A,2
BAG1,2
ADRB2,2
ADORA2A,2
DDX3X,2
GADD45A,2
CD40LG,2
BCAP31,2
BCL2A1,2
GRIK2,2
BCL2L11,2
TREM2,2
HDAC3,2
CXCR3,2
NINJ1,2
ABL1,2
TNFRSF10D,2
ATM,2
ATG7,2
ATF4,2
ADAM8,2
CTNNA1,2
ATF3,2
GSN,2
GSK3B,2
CREB1,2
HSPD1,2
ASCL1,2
FOXO1,2
GRN,2
ACSL4,2
CCL5,2
GSDME,2
DIABLO,2
BMP4,2
BMP7,2
CCL2,2
CCAR2,2
IL19,2
CASP4,2
BMP2,2
CASP10,2
CASP1,2
AKR1C3,2
CAPN2,2
BAK1,2
APAF1,2
CAMK2A,2
CAMK1D,2
GZMA,2
APBB2,2
GADD45B,2
IL10,2
CDKN2D,2
BECN1,2
BCL6,2
IGF2R,2
FANK1,2
IDO1,2
BMF,2
CCN1,2
IFNB1,2
APP,2
WNK3,1
INTS1,1
WNT1,1
INS,1
ITGB3,1
ING2,1
IL7R,1
WFS1,1
IVNS1ABP,1
ITGAV,1
ITGB3BP,1
VTCN1,1
ITPKB,1
IRF7,1
ITGA5,1
IRS2,1
ITPRIP,1
VSTM2L,1
VHL,1
IHH,1
IGF1R,1
YAP1,1
IGF1,1
IFIT3,1
IFI6,1
IER3IP1,1
WNT7A,1
YME1L1,1
ICAM1,1
HYPK,1
HYOU1,1
HTR2B,1
HSPG2,1
HSPB6,1
ZFAND6,1
ID1,1
IL7,1
IL6ST,1
IL4,1
IL31RA,1
IL2RG,1
WNT16,1
IL2RB,1
IL27RA,1
XRCC2,1
WNT4,1
IL2,1
IL15RA,1
VEGFB,1
XPNPEP1,1
IL15,1
IL13,1
IL11,1
IL27,1
MAPKAP1,1
MAPK8IP3,1
MAPK8IP2,1
MAPK8IP1,1
MAPK7,1
MAP4K4,1
MAP3K12,1
YWHAZ,1
MAP2K1,1
MALT1,1
MAGEA4,1
MAGEA3,1
MAG,1
MAEL,1
MAEA,1
LYPD3,1
MAP2K5,1
ANO6,1
MICAL1,1
MFSD8,1
APBB1,1
MERTK,1
MED1,1
APC,1
MARCHF7,1
MECOM,1
ARG1,1
ARHGEF7,1
MDM4,1
MDM2,1
MDK,1
MAZ,1
ARL6IP5,1
MECP2,1
KLHL20,1
KLF4,1
KIFAP3,1
KIF14,1
KHDC3L,1
KDR,1
KDM2B,1
LTF,1
URI1,1
KAT2B,1
USP40,1
KANK2,1
USP47,1
JAK3,1
VDAC1,1
VEGFA,1
KDM1A,1
LRP6,1
ATF6,1
LRP2,1
LONRF2,1
ATP2A2,1
LIMS2,1
LIG4,1
LHX4,1
KRAS,1
LGMN,1
LARGE1,1
LAMTOR5,1
LAMA1,1
LACRT,1
KRIT1,1
B4GALT1,1
BACE1,1
LHX3,1
EVI2B,1
ESR1,1
ERFE,1
ERCC5,1
ERBB4,1
EPO,1
EPHA4,1
ENSG00000274276,1
ENO1,1
MIEN1,1
EN1,1
ELL3,1
EIF2AK2,1
EGLN3,1
EGFR,1
EFNA1,1
EEF2K,1
EDNRB,1
EDN1,1
EN2,1
FIGNL1,1
FHL2,1
FGG,1
FGFR2,1
FGF8,1
FGF4,1
FGF20,1
FGF10,1
FGB,1
EYA1,1
FFAR4,1
FCMR,1
FCER1G,1
FBXO7,1
FATE1,1
FAIM2,1
FAIM,1
EYA4,1
EYA3,1
EYA2,1
FGA,1
CXCR2,1
CXCL12,1
CX3CR1,1
CX3CL1,1
CTTN,1
CSNK2A2,1
CSNK2A1,1
CSF2,1
CSF1R,1
EBI3,1
CRYAA,1
CRLF1,1
CRIPTO,1
CREB3L1,1
CREB3,1
CPEB4,1
CORO1A,1
COPS5,1
COMP,1
COL2A1,1
CRYAB,1
DYRK3,1
DSTYK,1
DSG2,1
DRAXIN,1
DPP9,1
DPP8,1
DOCK8,1
DNMT1,1
DNAJC5,1
DAB2,1
DLL1,1
DKK1,1
DIPK2A,1
DHRS2,1
DDRGK1,1
DDIAS,1
DDB1,1
DDAH2,1
DAG1,1
DAD1,1
DLX1,1
HIPK3,1
CAPN1,1
HIPK2,1
HIP1R,1
HIGD2A,1
HIGD1A,1
HIF1A,1
HEY2,1
HERPUD1,1
FKBP8,1
GSDMD,1
HDAC2,1
HDAC1,1
HCLS1,1
HCK,1
HAX1,1
HAND2,1
GSTP1,1
GRK5,1
GRINA,1
HELLS,1
ZMYND11,1
ZNF16,1
HSPB2,1
HSPA9,1
ZNF304,1
HSPA5,1
HSPA1B,1
HSPA1A,1
HSP90B1,1
HMGA2,1
HSH2D,1
HRAS,1
HPN,1
ZNF385A,1
HNRNPK,1
ZNF830,1
ZPR1,1
KEGG_APOPTOSIS,1
HNF1B,1
HMGN5,1
HSP90AB1,1
GATA4,1
GATA3,1
GATA2,1
GATA1,1
GAS6,1
FZD3,1
FZD1,1
FYN,1
FXN,1
GRIA4,1
FSTL1,1
FPR2,1
FOXE3,1
FOXC2,1
FOXC1,1
FOXB1,1
FMR1-AS1,1
FMN2,1
FLT4,1
FLNA,1
FUT1,1
GREM1,1
GPRASP3,1
GPR35,1
GPI,1
GOLPH3,1
GNRH1,1
GNAI2,1
GMEB1,1
GLO1,1
GATA6,1
GHSR,1
GHRL,1
GHITM,1
CNTFR,1
GFRAL,1
GDNF,1
GDF5,1
GCG,1
GBE1,1
GBA1,1
GLI3,1
PRDX3,1
PRDX2,1
SPHK1,1
PRDM9,1
PRAP1,1
PRAMEF9,1
PRAMEF8,1
PRAMEF7,1
PRAMEF6,1
MIR145,1
SPRY2,1
SRC,1
SRSF6,1
PRAMEF4,1
PRAMEF33,1
ST3GAL1,1
PRAMEF27,1
STAMBP,1
PRAMEF26,1
PRAMEF5,1
PSMD10,1
PSMC5,1
PSAT1,1
SOX10,1
PRR5,1
PROP1,1
PROK2,1
PROC,1
SOX8,1
PRDX5,1
PRLR,1
PRKCZ,1
SOX9,1
PRKCQ,1
PRKCH,1
PRKCG,1
PRKCA,1
PRKAA2,1
PRKAA1,1
PRMT1,1
SUPV3L1,1
PRAME,1
PPP5C,1
PPP1R10,1
PPIA,1
PPEF2,1
PPARGC1A,1
PPARD,1
SYCP2,1
PRAMEF25,1
POU3F4,1
POU3F3,1
PLXND1,1
PLK3,1
PLK2,1
PLK1,1
SYCP2L,1
PLCG2,1
PLAUR,1
PPARA,1
PRAMEF22,1
STAT3,1
PRAMEF20,1
STAT5A,1
STAT5B,1
PRAMEF2,1
PRAMEF19,1
STIL,1
STK40,1
STXBP1,1
PRAMEF17,1
PRAMEF15,1
PRAMEF14,1
PRAMEF13,1
PRAMEF12,1
PRAMEF11,1
PRAMEF10,1
PRAMEF1,1
STRADB,1
PRAMEF18,1
SELENOS,1
SCX,1
SLC1A1,1
SLC25A1,1
SCRT2,1
SCG2,1
RTKN2,1
RRN3,1
RRM2B,1
PSME3,1
SLC25A27,1
SLC25A5,1
SLC35F6,1
RPS6KA3,1
RPS6KA1,1
RPS3A,1
RORC,1
RNF34,1
RNF157,1
RPS6KB1,1
SIN3A,1
SIGMAR1,1
SIAH2,1
SHH,1
SHC1,1
SH3RF3,1
SIRT5,1
SH3RF2,1
SH3RF1,1
SEMA3E,1
SIX4,1
SGK3,1
SET,1
SERPINE1,1
SERPINB9,1
SERPINB2,1
SERPINB13,1
SEMA5A,1
SEMA4D,1
SIX1,1
SMO,1
SNAI1,1
PYCR1,1
SNAI2,1
PTTG1IP,1
SNCB,1
SNX6,1
SOCS2,1
PTPRZ1,1
RNF144B,1
PTMS,1
PTMA,1
PTK2B,1
PTH,1
PTGS2,1
SON,1
PTGFR,1
PTCRA,1
PSMG2,1
SOCS3,1
SLC39A10,1
RICTOR,1
RHOA,1
SLC46A2,1
RHBDD1,1
SLC7A5,1
RGL2,1
RFFL,1
RETREG1,1
QARS1,1
RB1CC1,1
SMAD5,1
RB1,1
RASA1,1
SMAD6,1
RAMP2,1
SMG9,1
RAG1,1
RAF1,1
SMAD3,1
TNIP2,1
TOPORS,1
NAA35,1
MYOCD,1
MYO18A,1
MYDGF,1
MYCNOS,1
MUC1,1
TOX3,1
PLAC8,1
TRIAP1,1
TRIM32,1
TSLP,1
MTOR,1
MTNR1B,1
TWIST1,1
MTDH,1
MT3,1
TXNDC12,1
TPT1,1
NME2,1
NKX3-2,1
NKX2-6,1
NKX2-5,1
NIBAN2,1
TMIGD1,1
TNFAIP3,1
NFE2L2,1
NES,1
NAA38,1
NDNF,1
NCKAP1L,1
NAT8B,1
TNFRSF18,1
NANOS3,1
NAIP,1
NACA,1
TNFRSF6B,1
TNFSF18,1
NEFL,1
MIR212,1
MIR20A,1
MIR19A,1
MIR199A1,1
UNC5B,1
UNG,1
MIR182,1
AGT,1
MIR181C,1
MSH2,1
MIR142,1
MIR138-1,1
AIMP2,1
AKAP12,1
ALDH1A3,1
MIR126,1
MIR106B,1
MIF,1
ANKRD1,1
AGTR2,1
TXNDC5,1
TYRO3,1
MRE11,1
MPV17L,1
MPO,1
MNT,1
UBE2B,1
MNAT1,1
MLST8,1
MIR222,1
UCN,1
UCP2,1
MIRLET7F1,1
MIR590,1
UFM1,1
MIR495,1
MIR361,1
MIR30E,1
MIR30B,1
MITF,1
TFAP2D,1
PHB2,1
PF4,1
THAP11,1
PEPD,1
PELI3,1
PDX1,1
TJP1,1
PDPN,1
NME5,1
PDE3A,1
TLE1,1
PCGF2,1
PCDHGC5,1
PCDHGC4,1
PCDHGC3,1
PAX8,1
TM7SF3,1
TMBIM1,1
PDPK1,1
PLA2G3,1
PKHD1,1
PIP,1
PIM3,1
SYNGAP1,1
PIM2,1
SYVN1,1
TAF9,1
TAF9B,1
PHIP,1
PIM1,1
TBX1,1
TBX3,1
TCF7L2,1
TEK,1
TENT5B,1
TERT,1
TEX11,1
PIAS1,1
TAX1BP1,1
TMBIM6,1
NRBP2,1
NR4A2,1
NR2E1,1
TMEM109,1
NR1H4,1
NQO1,1
NPY5R,1
TMEM14A,1
PAX7,1
NPM1,1
NPC1,1
NOS3,1
TMEM161A,1
TMF1,1
NONO,1
NOG,1
NOD2,1
NOC2L,1
NPPC,1
TMBIM4,1
PAX2,1
PARL,1
PALB2,1
PAK5,1
PAK4,1
PAGE4,1
PA2G4,1
OXR1,1
NRG1,1
ORMDL3,1
OPN3,1
OPA1,1
NUP62,1
NUGGC,1
NUAK2,1
NTRK2,1
NTF4,1
NTF3,1
NRP1,1
OSR1,1
MTCH1,1
MOAP1,1
MNDA,1
MLLT11,1
MIR98,1
MIR675,1
MIR451A,1
MIR4516,1
CHP1,1
MIR375,1
MIR320A,1
MIR29C,1
MIR29A,1
MIR28,1
MIR27B,1
MIR27A,1
MIR26B,1
MIR23A,1
MIR449A,1
NR4A1,1
NR3C1,1
NOS1,1
NOD1,1
NLRP2B,1
NLRC4,1
NKX3-1,1
NHERF1,1
NGFR,1
MTCH2,1
NEURL1,1
NET1,1
NDUFA13,1
NCOA1,1
NCK2,1
NCK1,1
NACC2,1
MYCN,1
MYBBP1A,1
NF1,1
LYN,1
LPAR1,1
LGALS9,1
LGALS2,1
LGALS16,1
LGALS13,1
LGALS1,1
LCK,1
LATS2,1
MIR204,1
LAMP2,1
KNG1,1
KLF11,1
KCNMA1,1
KATNB1,1
JMY,1
ITPR1,1
ITM2C,1
ITGA4,1
LATS1,1
MIR200A,1
MIR186,1
MIR181B1,1
MIR16-1,1
MIR15A,1
MIR140,1
MIR137,1
MIR125A,1
MIR1-1,1
MAGED1,1
MELK,1
MCU,1
MARK4,1
MAPK9,1
MAP3K9,1
MAP3K20,1
MAP3K11,1
MAP3K10,1
MAL,1
MFN2,1
RNF122,1
RIPK2,1
RGCC,1
RET,1
REST,1
RBM5,1
RBM10,1
RASSF6,1
RASSF2,1
NTRK3,1
RAPSN,1
RAPGEF2,1
RAD9A,1
QRICH1,1
PYCARD,1
PTPRC,1
PTPN2,1
PTPA,1
PTGIS,1
RARG,1
SFRP4,1
SFPQ,1
SERINC3,1
SEPTIN4,1
SCRIB,1
SCIN,1
SAV1,1
SAP18,1
S100B,1
RNF183,1
S100A8,1
RYBP,1
RRP1B,1
RPS7,1
RPS6KA2,1
RPS6,1
RPS3,1
RPL26,1
RNPS1,1
S100A9,1
PLA2R1,1
PLA2G1B,1
PITX3,1
PIP5KL1,1
PIAS4,1
PHLDA3,1
PHLDA2,1
PHLDA1,1
PHB1,1
PRR7,1
PDIA3,1
PDCD6,1
PDCD5,1
PCSK9,1
PCK2,1
PANO1,1
P2RX7,1
OMA1,1
OLFM1,1
PERP,1
PRMT2,1
PRKRA,1
PRKCB,1
PRDM11,1
PPP2R1B,1
PPP2R1A,1
PPP1CA,1
PPID,1
PPARG,1
PLAGL2,1
POMC,1
PNN,1
PNMA5,1
PNMA3,1
PNMA2,1
PNMA1,1
PML,1
PLEKHN1,1
PLCG1,1
POU4F2,1
CASP12,1
CARM1,1
CAPN10,1
CAMK2D,1
CALHM2,1
C3ORF38,1
C1QBP,1
BTG1,1
ITGA1,1
BMPR1B,1
BLID,1
BIN1,1
BCLAF1,1
BCL2L14,1
BBC3,1
SH3GLB1,1
PRKAR2B,1
PRKAR2A,1
BRMS1,1
CTSC,1
CTNNBL1,1
CTLA4,1
CSRNP3,1
CRYBA1,1
CRADD,1
CLIP3,1
CIDEB,1
CDKN2A,1
CASP14,1
CDK5,1
CDK19,1
CD40,1
CD274,1
CD248,1
CD160,1
CCL3,1
CCAR1,1
CASP5,1
CDK5R1,1
GSDMB,1
IKBKB,1
EXOG,1
ENDOD1,1
DFFB,1
CYCS,1
CSF2RB,1
CHUK,1
PRKX,1
PRKAR1B,1
CHP2,1
IL1R1,1
VPS54,1
ADRB1,1
ADIPOQ,1
ADCY10,1
ADAMTSL4,1
ACVR1C,1
ACIN1,1
ALDH1A2,1
PRKAR1A,1
PRKACG,1
PRKACB,1
PRKACA,1
PPP3R2,1
PPP3CC,1
PPP3CB,1
PPP3CA,1
PIK3R5,1
IL1RAP,1
NFKBIA,1
MYD88,1
MAP3K14,1
IRAK4,1
IRAK3,1
IRAK2,1
IRAK1,1
IL3RA,1
IL3,1
PIK3R2,1
HTATIP2,1
HSPA8,1
HRK,1
HRG,1
HPGD,1
HOXA5,1
HOXA13,1
HMGB1,1
HLA-G,1
CTSD,1
GSK3A,1
GRIN2A,1
GRAMD4,1
GPLD1,1
GPER1,1
GAL,1
GADD45G,1
G0S2,1
FRZB,1
HCAR2,1
IRF5,1
IP6K2,1
INPP5D,1
INHBB,1
INHBA,1
ING5,1
ING4,1
INCA1,1
IL20RA,1
HTR2A,1
IL12A,1
IGFBP3,1
IFNG,1
IFIT2,1
ID3,1
IAPP,1
HYAL2,1
HTRA4,1
HTRA1,1
IL12B,1
EEF1E1,1
EEF1A2,1
ECT2,1
ECSCR,1
E2F3,1
E2F1,1
DUSP6,1
DNM2,1
DLC1,1
FOXL2,1
DHCR7,1
DEDD2,1
DDX20,1
DCUN1D3,1
DAPK3,1
DAPK2,1
DAB2IP,1
CYP1B1,1
CTSH,1
DKKL1,1
FOXA1,1
FNIP1,1
FLCN,1
FIS1,1
FCAR,1
FBXW7,1
FBH1,1
FAP,1
FAM162A,1
EI24,1
F3,1
F2RL1,1
ERCC3,1
EPHA7,1
EMILIN2,1
EMILIN1,1
EIF5A,1
EIF2S1,1
EIF2B5,1
FAF1,1
ANKLE2,1
ANGPTL4,1
ANGPT4,1
ANGPT1,1
ANG,1
AMIGO2,1
AMBRA1,1
ALOX12,1
SIAH1,1
ALDH7A1,1
AKR1B1,1
AKR1A1,1
AIPL1,1
AHI1,1
AGO4,1
AGAP2,1
ADORA1,1
ADNP,1
ALKBH1,1
ASIC2,1
ASAH2,1
ARNT2,1
ARMCX5-GPRASP2,1
ARMC10,1
ARL6IP1,1
ARHGDIA,1
ARHGAP10,1
ARG2,1
ANP32B,1
AREL1,1
ARAF,1
AR,1
AQP1,1
APOH,1
APIP,1
API5,1
ANXA5,1
ANXA4,1
ARF4,1
SMAD7,1
SLC20A1,1
SATB1,1
RNASEL,1
RHOT2,1
RETSAT,1
PSEN2,1
PPP2R5B,1
PLPPR4,1
ADGRG1,1
PLAT,1
PDGFRB,1
PAK1,1
NEFH,1
NEDD9,1
MADD,1
LUM,1
ISG20,1
IRF1,1
PLCB2,1
ADAR,1
ADAMTS20,1
ADA,1
ACVR1,1
ACTC1,1
ACLY,1
ACKR3,1
ACAA2,1
ABCC9,1
SPTAN1,1
AARS1,1
AAMDC,1
STK25,1
PJVK,1
WEE1,1
TIMP3,1
TIMP2,1
TGFBR3,1
TAP1,1
AATF,1
CDH5,1
CDC73,1
CD74,1
CD2AP,1
CD28,1
CD27,1
CCR7,1
CCR5,1
CCL21,1
ASNS,1
CBX4,1
CBLC,1
CBL,1
CAT,1
CAST,1
CARTPT,1
CARD14,1
CAPN3,1
CAMP,1
CCL19,1
CLN8,1
CLN3,1
CLEC5A,1
CLCF1,1
CITED2,1
CITED1,1
CIDEA,1
CIB1,1
CIAPIN1,1
CDK1,1
CHL1,1
CHD8,1
CFL1,1
CFDP1,1
CERKL,1
CEBPB,1
CEACAM6,1
CEACAM5,1
CDSN,1
CHST11,1
BARHL1,1
BAG6,1
BAG5,1
BAG4,1
BAG3,1
BABAM2,1
AZU1,1
AXL,1
AVP,1
CAAP1,1
AURKB,1
AURKA,1
ATP7A,1
ATP5IF1,1
ATOX1,1
ATOH1,1
ATF5,1
ATAD5,1
ATAD3A,1
AVEN,1
C8ORF44-SGK3,1
C8ORF17,1
BTC,1
BRAF,1
BNIP2,1
BNIP1,1
BMP5,1
BMI1,1
BLVRA,1
BBS10,1
BIRC7,1
BIRC6,1
BIRC5,1
BFAR,1
BDNF,1
BDKRB2,1
BCL3,1
BCL2L12,1
BCL11B,1
BIRC8,1
WNT10B,1
VNN1,1
VDR,1
UTP11,1
USP27X,1
USP17L24,1
UNC5C,1
UNC13B,1
IL18,1
UBB,1
TRIM39,1
TRIM35,1
TRAF7,1
TPD52L1,1
TP63,1
TP53BP2,1
TP53BP1,1
TNFSF15,1
UBD,1
SIVA1,1
IL2RA,1
TRPM7,1
TLR3,1
PYGL,1
PGAM5,1
NLRP6,1
MLKL,1
ITPK1,1
WNT11,1
IPMK,1
ATG9B,1
ATG9A,1
ALKBH7,1
ZSWIM2,1
ZNF622,1
ZC3H8,1
ZBTB16,1
WWOX,1
IRF3,1
STK4,1
STK3,1
STK17B,1
STK17A,1
ST8SIA2,1
SRPX,1
SRPK2,1
SPHK2,1
SPDEF,1
TNFSF12,1
SOX4,1
SMURF2,1
SMPD1,1
SMAD4,1
SLIT2,1
SLC27A4,1
SKIL,1
SIRT2,1
SIK1,1
SP1,1
TNFSF11,1
TNFRSF8,1
TNFRSF1B,1
TMEM196,1
TMEM164,1
TMC8,1
TLR6,1
TLR4,1
TLE5,1
STPG1,1
TGFB1,1
TFPT,1
TFAP4,1
TEX261,1
TCTN3,1
TBX20,1
TAF6,1
SYCE3,1
STYXL1,1
TGM2,1
DAP3,1
DAP,1
CREBBP,1
CDK2,1
CDC25B,1
CD69,1
CD2,1
CD14,1
CCNA1,1
WP_FERROPTOSIS,1
BIK,1
BGN,1
AVPR1A,1
ANKH,1
AIFM3,1
ADD1,1
HALLMARK_APOPTOSIS,1
DNASE1L3,1
VDAC3,1
BTG3,1
IGFBP6,1
IFNGR1,1
IFITM3,1
H1-0,1
GUCY2D,1
GSTM1,1
GSR,1
GPX3,1
GNA15,1
DCN,1
FDXR,1
F2,1
ETF1,1
EREG,1
ENO2,1
EMP1,1
EBP,1
DPYD,1
DNM1L,1
FEZ1,1
GSS,1
FTMT,1
FTL,1
FDFT1,1
DPP4,1
CYBB,1
CP,1
COQ2,1
CISD1,1
TXNRD1,1
CHMP5,1
BACH1,1
ALOX15,1
AKR1C2,1
AKR1C1,1
ACSL6,1
ACSL5,1
ACSL3,1
ACSL1,1
CHMP6,1
TF,1
STEAP3,1
SLC3A2,1
SLC39A8,1
SLC39A14,1
SLC38A1,1
SLC1A5,1
SLC11A2,1
SAT2,1
HMGCR,1
PCBP2,1
PCBP1,1
NOX4,1
NCOA4,1
MAP1LC3C,1
MAP1LC3B,1
MAP1LC3A,1
LPCAT3,1
IREB2,1
PHKG2,1
